10,4,8,-6,4,0.910357073,0.910357073,0.910357073
9,4.5,6.5,-4.5,2,0.886707393,0.886707393,0.886707393
10,5.5,7.5,-4.5,2,0.886707393,0.886707393,0.886707393
11,5,11,-6,6,0.883176087,0.883176087,0.883176087
9,4.5,14.5,-4.5,10,0.883176087,0.883176087,0.883176087
10,5.5,15.5,-4.5,10,0.883176087,0.883176087,0.883176087
11,6.5,8.5,-4.5,2,0.880340843,0.880340843,0.880340843
9,3,7,-6,4,0.87357026,0.87357026,0.87357026
6,1.5,13.5,-4.5,12,0.860232527,0.860232527,0.860232527
10,5.5,13.5,-4.5,8,0.858050115,0.858050115,0.858050115
8,2,8,-6,6,0.855131569,0.855131569,0.855131569
5,0.5,6.5,-4.5,6,0.849632273,0.849632273,0.849632273
7,2.5,14.5,-4.5,12,0.846684711,0.846684711,0.846684711
9,3,15,-6,12,0.840758586,0.840758586,0.840758586
8,2,12,-6,10,0.836660027,0.836660027,0.836660027
10,4,16,-6,12,0.836660027,0.836660027,0.836660027
8,2,6,-6,4,0.829909634,0.829909634,0.829909634
9,3,9,-6,6,0.829909634,0.829909634,0.829909634
5,0.5,10.5,-4.5,10,0.829909634,0.829909634,0.829909634
10,5.5,9.5,-4.5,4,0.826135582,0.826135582,0.826135582
10,4,12,-6,8,0.826135582,0.826135582,0.826135582
11,5,19,-6,14,0.826135582,0.826135582,0.826135582
10,5.5,19.5,-4.5,14,0.826135582,0.826135582,0.826135582
9,4.5,12.5,-4.5,8,0.821583836,0.821583836,0.821583836
7,4,18,-3,14,0.815475322,0.815475322,0.815475322
10,5.5,11.5,-4.5,6,0.811249037,0.811249037,0.811249037
5,2,8,-3,6,0.807774721,0.807774721,0.807774721
11,6.5,10.5,-4.5,4,0.806225775,0.806225775,0.806225775
11,5,13,-6,8,0.806225775,0.806225775,0.806225775
8,3.5,11.5,-4.5,8,0.804673847,0.804673847,0.804673847
6,0,10,-6,10,0.804673847,0.804673847,0.804673847
9,4.5,8.5,-4.5,4,0.800780869,0.800780869,0.800780869
11,8,18,-3,10,0.800780869,0.800780869,0.800780869
5,-1,11,-6,12,0.800780869,0.800780869,0.800780869
10,7,11,-3,4,0.796476616,0.796476616,0.796476616
9,3,13,-6,10,0.796084166,0.796084166,0.796084166
10,4,18,-6,14,0.796084166,0.796084166,0.796084166
9,3,17,-6,14,0.790174031,0.790174031,0.790174031
8,3.5,17.5,-4.5,14,0.790174031,0.790174031,0.790174031
11,8,10,-3,2,0.782623792,0.782623792,0.782623792
7,1,5,-6,4,0.782623792,0.782623792,0.782623792
8,3.5,9.5,-4.5,6,0.78062475,0.78062475,0.78062475
8,3.5,13.5,-4.5,10,0.78062475,0.78062475,0.78062475
7,2.5,6.5,-4.5,4,0.779422863,0.779422863,0.779422863
5,0.5,14.5,-4.5,14,0.779422863,0.779422863,0.779422863
11,6.5,20.5,-4.5,14,0.779422863,0.779422863,0.779422863
8,5,7,-3,2,0.775403121,0.775403121,0.775403121
11,6.5,12.5,-4.5,6,0.775403121,0.775403121,0.775403121
6,1.5,11.5,-4.5,10,0.775403121,0.775403121,0.775403121
10,4,14,-6,10,0.774596669,0.774596669,0.774596669
7,1,13,-6,12,0.774596669,0.774596669,0.774596669
