5,9.5,9.5,-1.0,-1.0,5,4.5,0,-6.0,0,0.31224989991992,0.31224989991992,0.31224989991992
6,10.5,10.5,0.0,0.0,6,4.5,0,-6.0,0,0.306186217847897,0.306186217847897,0.306186217847897
7,11.5,11.5,1.0,1.0,7,4.5,0,-6.0,0,0.374165738677394,0.374165738677394,0.374165738677394
8,12.5,12.5,2.0,2.0,8,4.5,0,-6.0,0,0.349106001094224,0.349106001094224,0.349106001094224
9,13.5,13.5,3.0,3.0,9,4.5,0,-6.0,0,0.306186217847897,0.306186217847897,0.306186217847897
10,14.5,14.5,4.0,4.0,10,4.5,0,-6.0,0,0.349106001094224,0.349106001094224,0.349106001094224
11,15.5,15.5,5.0,5.0,11,4.5,0,-6.0,0,0.3,0.3,0.3
5,11.0,11.0,-1.0,-1.0,5,6.0,0,-6.0,0,0.310241841149771,0.310241841149771,0.310241841149771
6,12.0,12.0,0.0,0.0,6,6.0,0,-6.0,0,0.31224989991992,0.31224989991992,0.31224989991992
7,13.0,13.0,1.0,1.0,7,6.0,0,-6.0,0,0.285043856274785,0.285043856274785,0.285043856274785
8,14.0,14.0,2.0,2.0,8,6.0,0,-6.0,0,0.262202212042538,0.262202212042538,0.262202212042538
9,15.0,15.0,3.0,3.0,9,6.0,0,-6.0,0,0.31224989991992,0.31224989991992,0.31224989991992
10,16.0,16.0,4.0,4.0,10,6.0,0,-6.0,0,0.335410196624968,0.335410196624968,0.335410196624968
11,17.0,17.0,5.0,5.0,11,6.0,0,-6.0,0,0.287228132326901,0.287228132326901,0.287228132326901
5,-1.0,1.0,-1.0,-1.0,5,-6.0,2,-6.0,0,0.335410196624968,0.335410196624968,0.335410196624968
6,0.0,2.0,0.0,0.0,6,-6.0,2,-6.0,0,0.321130814466628,0.321130814466628,0.321130814466628
7,1.0,3.0,1.0,1.0,7,-6.0,2,-6.0,0,0.306186217847897,0.306186217847897,0.306186217847897
8,2.0,4.0,2.0,2.0,8,-6.0,2,-6.0,0,0.310241841149771,0.310241841149771,0.310241841149771
9,3.0,5.0,3.0,3.0,9,-6.0,2,-6.0,0,0.349106001094224,0.349106001094224,0.349106001094224
10,4.0,6.0,4.0,4.0,10,-6.0,2,-6.0,0,0.349106001094224,0.349106001094224,0.349106001094224
