5,5,5,9,13,1,7,0,0,2,-8,12,1,1,1
5,5,5,9,1,13,7,0,0,2,-8,12,1,1,1
5,5,5,13,1,13,9,0,0,4,-12,12,1,1,1
5,5,5,13,9,13,9,0,0,4,-4,4,1,1,1
9,1,9,5,9,5,7,-8,8,-2,0,4,1,1,1
9,1,9,9,9,9,9,-8,8,0,0,0,1,1,1
9,1,9,9,9,13,9,-8,8,0,0,4,1,1,1
9,1,9,9,13,13,9,-8,8,0,4,0,1,1,1
5,1,9,13,13,13,9,-4,8,4,0,0,1,1,1
5,5,9,9,13,1,7,0,4,2,-8,12,1,1,1
5,5,9,13,13,1,9,0,4,4,-12,12,1,1,1
9,5,9,5,13,5,7,-4,4,-2,0,8,1,1,1
5,5,9,13,13,5,9,0,4,4,-8,8,1,1,1
5,5,9,9,1,9,7,0,4,2,-8,8,1,1,1
9,5,9,5,5,9,7,-4,4,-2,0,4,1,1,1
9,5,9,9,9,9,9,-4,4,0,0,0,1,1,1
9,5,9,5,13,9,7,-4,4,-2,4,4,1,1,1
5,5,9,13,1,13,9,0,4,4,-12,12,1,1,1
5,5,9,13,5,13,9,0,4,4,-8,8,1,1,1
9,5,9,9,13,13,9,-4,4,0,4,0,1,1,1
9,5,9,13,13,13,11,-4,4,2,0,0,1,1,1
9,9,9,9,9,1,9,0,0,0,-8,8,1,1,1
9,9,9,9,13,1,9,0,0,0,-8,12,1,1,1
5,9,9,9,9,5,7,4,0,2,-4,4,1,1,1
9,9,9,13,13,5,11,0,0,2,-8,8,1,1,1
9,9,9,13,9,13,11,0,0,2,-4,4,1,1,1
13,1,13,5,9,1,9,-12,12,-4,-4,8,1,1,1
13,1,13,5,9,5,9,-12,12,-4,0,4,1,1,1
13,1,13,5,5,9,9,-12,12,-4,0,4,1,1,1
9,1,13,9,9,9,9,-8,12,0,0,0,1,1,1
13,1,13,9,9,9,11,-12,12,-2,0,0,1,1,1
9,1,13,5,13,9,7,-8,12,-2,4,4,1,1,1
9,1,13,9,13,9,9,-8,12,0,0,4,1,1,1
13,1,13,13,13,9,13,-12,12,0,-4,4,1,1,1
9,1,13,5,5,13,7,-8,12,-2,0,8,1,1,1
9,1,13,5,9,13,7,-8,12,-2,4,4,1,1,1
9,1,13,9,9,13,9,-8,12,0,0,4,1,1,1
13,1,13,9,9,13,11,-12,12,-2,0,4,1,1,1
13,1,13,5,13,13,9,-12,12,-4,8,0,1,1,1
13,1,13,9,13,13,11,-12,12,-2,4,0,1,1,1
9,1,13,13,13,13,11,-8,12,2,0,0,1,1,1
13,1,13,13,13,13,13,-12,12,0,0,0,1,1,1
9,5,13,9,9,1,9,-4,8,0,-8,8,1,1,1
5,5,13,9,13,1,7,0,8,2,-8,12,1,1,1
13,5,13,9,13,1,11,-8,8,-2,-8,12,1,1,1
13,5,13,5,5,5,9,-8,8,-4,0,0,1,1,1
13,5,13,5,13,5,9,-8,8,-4,0,8,1,1,1
9,5,13,9,13,5,9,-4,8,0,-4,8,1,1,1
5,5,13,13,13,5,9,0,8,4,-8,8,1,1,1
13,5,13,5,5,9,9,-8,8,-4,0,4,1,1,1
13,5,13,5,9,9,9,-8,8,-4,4,0,1,1,1
13,5,13,9,9,9,11,-8,8,-2,0,0,1,1,1
9,5,13,5,13,9,7,-4,8,-2,4,4,1,1,1
